asset_id	canonical_name	aliases	development_codes	modality	adc_scope	target	company	highest_stage	development_status	nct_ids	first_seen	last_seen	sources	source_count	evidence_ids	catalog_status
NAR_DRG0AAJTS	ETX-22	ETx22; Etx 22		PRESUMED_STRICT_ADC	PRESUMED_ADC	Nectin-4 (NECTIN4)	Emergence Therapeutics AG	Investigative	Investigative				nar_reference; europe_pmc	2	DRG0AAJTS; ADC_SUFFIX_6aa48cb6883a	MULTISOURCE_CONFIRMED
NAR_DRG0ADKKF	AbGn-108	AbGn 108; AbGn108			REFERENCE_UNCLASSIFIED	Undisclosed	AbGenomics International, Inc	Investigative	Investigative				nar_reference	1	DRG0ADKKF	REFERENCE_CONFIRMED
NAR_DRG0AHKIO	MTX-13			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT06752681			nar_reference; europe_pmc	2	DRG0AHKIO; ADC_SUFFIX_3af6d5c8df41	MULTISOURCE_CONFIRMED
NAR_DRG0AJCCS	BAT-8008			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1				nar_reference; conference_abstract_corpus	2	DRG0AJCCS; ADC_SUFFIX_87508b667a7d	MULTISOURCE_CONFIRMED
NAR_DRG0AKFYV	Raludotatug deruxtecan	Raludotatug deruxtecan		PRESUMED_STRICT_ADC	PRESUMED_ADC	Cadherin-6 (CDH6)		Investigative	Investigative Drug-to-Antibody Ratio 8 3D				nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0AKFYV; ADC_CANDIDATE_ADC_SUFFIX_d82b69ba971c	MULTISOURCE_CONFIRMED
NAR_DRG0ALCYL	NKTR-288	NKTR 288; NKTR288			REFERENCE_UNCLASSIFIED	Interferon alpha-1/13 (IFNA1; IFNA13)	Nektar Therapeutics	Investigative	Investigative				nar_reference	1	DRG0ALCYL	REFERENCE_CONFIRMED
NAR_DRG0AMZIS	DN-028	DN028; DN 028			REFERENCE_UNCLASSIFIED	Undisclosed	Piistech; Shanghai Gopherwood Biotech Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0AMZIS	REFERENCE_CONFIRMED
NAR_DRG0ANRPC	JSKN021			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT07617727			nar_reference; conference_abstract_corpus	2	DRG0ANRPC; ADC_SUFFIX_d1d7381c3f66	MULTISOURCE_CONFIRMED
NAR_DRG0AQITP	RG-7636				REFERENCE_UNCLASSIFIED			Phase1	Phase 1				nar_reference	1	DRG0AQITP	REFERENCE_CONFIRMED
NAR_DRG0ARHOG	BIIB-015	Anti-CRIPTO; Anti-Cripto mAB; Anti-Cripto-DM4; BIIB 015; BIIB-015; BIIB015			REFERENCE_UNCLASSIFIED	Teratocarcinoma-derived growth factor 1 (TDGF1)	Biogen, Inc	Phase1	Phase 1 (Terminated)	NCT00674947			nar_reference	1	DRG0ARHOG	REFERENCE_CONFIRMED
NAR_DRG0ARIWN	CMD-193	CD193; CMD 193; CMD-193; Hu3S193-CM; Hu3S193-CalichDMH			REFERENCE_UNCLASSIFIED	Lewis Y	Wyeth AB; Pfizer Inc	Phase1	Phase 1 (Terminated)	NCT00161642; NCT00257881; NCT00293215			nar_reference	1	DRG0ARIWN	REFERENCE_CONFIRMED
NAR_DRG0ASYKZ	Izeltabart tapatansine	Izeltabart tapatansine			REFERENCE_UNCLASSIFIED	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9)		Investigative	Investigative				nar_reference	1	DRG0ASYKZ	REFERENCE_CONFIRMED
NAR_DRG0ATULB	Laprituximab emtansine	IMGN 289; IMGN-289; IMGN2 89; IMGN289; J2898A-SMCC-DM1; Laprituximab emtansine			REFERENCE_UNCLASSIFIED	Epidermal growth factor receptor (EGFR)	ImmunoGen, Inc	Phase1	Phase 1 (Terminated)	NCT01963715			nar_reference	1	DRG0ATULB	REFERENCE_CONFIRMED
NAR_DRG0AUAOQ	ZL-6201			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT07374848			nar_reference; conference_abstract_corpus	2	DRG0AUAOQ; ADC_SUFFIX_0085785a47c9	MULTISOURCE_CONFIRMED
NAR_DRG0AVEQT	SYD1091	WO2015177360A1_ADC-HC41; SYD 1091; SYD-1091			REFERENCE_UNCLASSIFIED	Glutamate carboxypeptidase 2 (FOLH1)	Byodes Private Ltd	Investigative	Investigative				nar_reference	1	DRG0AVEQT	REFERENCE_CONFIRMED
NAR_DRG0AVJCO	AOC-1020	AOC 1020; AOC-1020; AOC-FSHD; AOC1020			REFERENCE_UNCLASSIFIED	Transferrin receptor protein 1 (TFRC)	Avidity Biosciences, Inc	Phase2	Phase 2	NCT05747924			nar_reference	1	DRG0AVJCO	REFERENCE_CONFIRMED
NAR_DRG0AWQJG	PF-06804103	Anti-HER2 ADC (Pfizer Inc.); Anti-NG-HER2 ADC; NG-HER2 ADC; PF 06804103; PF-06804103; PF-06804103, NG-HER2 ADC; PF06804103; anti-HER2-vc0101; anti-HER2-vcAur0101 ADC			REFERENCE_UNCLASSIFIED	Receptor tyrosine-protein kinase erbB-2 (HER2)	Pfizer Inc	Phase1	Phase 1 (Terminated)				nar_reference	1	DRG0AWQJG	REFERENCE_CONFIRMED
NAR_DRG0AWSBJ	HDP-104	HDP 104; HDP104			REFERENCE_UNCLASSIFIED	Undisclosed	Heidelberg Pharma AG	Investigative	Investigative				nar_reference	1	DRG0AWSBJ	REFERENCE_CONFIRMED
NAR_DRG0AWUIJ	Indatuximab ravtansine	Anti-myeloma monoclonal antibody-DM4 immunoconjugate BT-062; BT-062; Indatuximab ravtansine; Maytansinoid-conjugated anti-myeloma monoclonal antibody BT-062; nBT-062		PRESUMED_STRICT_ADC	PRESUMED_ADC	Syndecan-1 (SDC1)	Biotest Pharma GmbH; Biotest AG	Phase2	Phase 1/2 (Terminated)	NCT00723359; NCT01638936			nar_reference; europe_pmc; pubmed	3	DRG0AWUIJ; ADC_SUFFIX_ad21d41e3fa6	MULTISOURCE_CONFIRMED
NAR_DRG0AXDIU	IIIA4-USAN	Anti-EphA3 antibody-drug conjugate (Humanigen); Anti-EphA3 antibody-drug conjugate			REFERENCE_UNCLASSIFIED	Ephrin type-A receptor 3 (EPHA3)	Humanigen, Inc	Investigative	Investigative				nar_reference	1	DRG0AXDIU	REFERENCE_CONFIRMED
NAR_DRG0AXGPR	BIL-03n	BOL03n; BIL 03n			REFERENCE_UNCLASSIFIED	P2X purinoceptor 7 (P2RX7)	Biosceptre International Ltd	Investigative	Investigative				nar_reference	1	DRG0AXGPR	REFERENCE_CONFIRMED
NAR_DRG0AXWSD	BIO-112	BIO 112 (BiOneCure Therapeutics); BIO 112; BIO112			REFERENCE_UNCLASSIFIED	Undisclosed		Investigative	Investigative				nar_reference	1	DRG0AXWSD	REFERENCE_CONFIRMED
NAR_DRG0AYTGS	PF-08046037				REFERENCE_UNCLASSIFIED			Phase1	Phase 1	NCT06974734			nar_reference	1	DRG0AYTGS	REFERENCE_CONFIRMED
NAR_DRG0AZRNL	Iladatuzumab vedotin	DCDS 0780A; DCDS-0780A; DCDS0780A; Iladatuzumab vedotin; RG 7986; RG7986; RO-7032005		PRESUMED_STRICT_ADC	PRESUMED_ADC	B-cell antigen receptor complex-associated protein beta chain (CD79B)	F. Hoffmann-La Roche Ltd; Roche Holding AG	Phase1	Phase 1 (Terminated)	NCT02453087			nar_reference; europe_pmc	2	DRG0AZRNL; ADC_SUFFIX_1aa62d135f99	MULTISOURCE_CONFIRMED
NAR_DRG0AZUEZ	ZV-0203			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1				nar_reference; conference_abstract_corpus	2	DRG0AZUEZ; ADC_SUFFIX_50454f24dcee	MULTISOURCE_CONFIRMED
NAR_DRG0BBHPW	DXC-004A	DXC 004A; DXC-004A; DXC004A			REFERENCE_UNCLASSIFIED	Epidermal growth factor receptor (EGFR)	Hangzhou DAC Biotech Co., Ltd	Phase1	Phase 1				nar_reference	1	DRG0BBHPW	REFERENCE_CONFIRMED
