canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
ETX-22	ETx22; Etx 22		Nectin-4 (NECTIN4)	Emergence Therapeutics AG	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
AbGn-108	AbGn 108; AbGn108		Undisclosed	AbGenomics International, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MTX-13					Phase1	Phase 1	NCT06752681	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
BAT-8008					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Raludotatug deruxtecan	Raludotatug deruxtecan		Cadherin-6 (CDH6)		Investigative	Investigative Drug-to-Antibody Ratio 8 3D		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
NKTR-288	NKTR 288; NKTR288		Interferon alpha-1/13 (IFNA1; IFNA13)	Nektar Therapeutics	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DN-028	DN028; DN 028		Undisclosed	Piistech; Shanghai Gopherwood Biotech Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JSKN021					Phase1	Phase 1	NCT07617727	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
RG-7636					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BIIB-015	Anti-CRIPTO; Anti-Cripto mAB; Anti-Cripto-DM4; BIIB 015; BIIB-015; BIIB015		Teratocarcinoma-derived growth factor 1 (TDGF1)	Biogen, Inc	Phase1	Phase 1 (Terminated)	NCT00674947	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CMD-193	CD193; CMD 193; CMD-193; Hu3S193-CM; Hu3S193-CalichDMH		Lewis Y	Wyeth AB; Pfizer Inc	Phase1	Phase 1 (Terminated)	NCT00161642; NCT00257881; NCT00293215	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Izeltabart tapatansine	Izeltabart tapatansine		Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
