asset_id,canonical_name,aliases,development_codes,target,payload,linker,indication,company,clinical_phase,adc_scope,catalog_status,source_count,sources,nct_ids,date_added_to_table
NAR_DRG0AAJTS,ETX-22,ETx22; Etx 22,,Nectin-4 (NECTIN4),,,,Emergence Therapeutics AG,Investigative,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; europe_pmc,,2026-09-01
NAR_DRG0ADKKF,AbGn-108,AbGn 108; AbGn108,,Undisclosed,,,,"AbGenomics International, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0AHKIO,MTX-13,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; europe_pmc,NCT06752681,2026-09-01
NAR_DRG0AJCCS,BAT-8008,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; conference_abstract_corpus; conference_crossref_search,,2026-09-01
NAR_DRG0AKFYV,Raludotatug deruxtecan,Raludotatug deruxtecan,,Cadherin-6 (CDH6),an exatecan derivative (topoisomerase-1 inhibitor),cleavable GGFG peptide linker (typical),"Carcinoma, Non-Small-Cell Lung; Gastrointestinal Cancer; Ovarian Cancer Recurrent",,Investigative Drug-to-Antibody Ratio 8 3D,PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; clinicaltrials; conference_abstract_corpus,,2026-09-01
NAR_DRG0ALCYL,NKTR-288,NKTR 288; NKTR288,,Interferon alpha-1/13 (IFNA1; IFNA13),,,,Nektar Therapeutics,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0AMZIS,DN-028,DN028; DN 028,,Undisclosed,,,,"Piistech; Shanghai Gopherwood Biotech Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0ANRPC,JSKN021,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT07617727,2026-09-01
NAR_DRG0AQITP,RG-7636,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0ARHOG,BIIB-015,Anti-CRIPTO; Anti-Cripto mAB; Anti-Cripto-DM4; BIIB 015; BIIB-015; BIIB015,,Teratocarcinoma-derived growth factor 1 (TDGF1),,,,"Biogen, Inc",Phase 1 (Terminated),REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT00674947,2026-09-01
