entity_id	entity_type	canonical_label	aliases	first_seen	last_seen	evidence_count	evidence_sources	confidence	status	associated_adc_candidates
ADC_ANTIBODY_GEMTUZUMAB_OZOGAMICIN	ADC_ANTIBODY	Gemtuzumab ozogamicin	Mylotarg			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN
ADC_ANTIBODY_BRENTUXIMAB_VEDOTIN	ADC_ANTIBODY	Brentuximab vedotin	Adcetris			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN
ADC_ANTIBODY_TRASTUZUMAB_EMTANSINE	ADC_ANTIBODY	Trastuzumab emtansine	Kadcyla			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE
ADC_ANTIBODY_INOTUZUMAB_OZOGAMICIN	ADC_ANTIBODY	Inotuzumab ozogamicin	Besponsa			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN
ADC_ANTIBODY_POLATUZUMAB_VEDOTIN	ADC_ANTIBODY	Polatuzumab vedotin	Polivy			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_POLATUZUMAB_VEDOTIN
ADC_ANTIBODY_ENFORTUMAB_VEDOTIN	ADC_ANTIBODY	Enfortumab vedotin	Padcev			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_ENFORTUMAB_VEDOTIN
ADC_ANTIBODY_TRASTUZUMAB_DERUXTECAN	ADC_ANTIBODY	Trastuzumab deruxtecan	Enhertu			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN
ADC_ANTIBODY_SACITUZUMAB_GOVITECAN	ADC_ANTIBODY	Sacituzumab govitecan	Trodelvy			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_SACITUZUMAB_GOVITECAN
ADC_ANTIBODY_BELANTAMAB_MAFODOTIN	ADC_ANTIBODY	Belantamab mafodotin	Blenrep; Belamaf			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_BELANTAMAB_MAFODOTIN
ADC_ANTIBODY_LONCASTUXIMAB_TESIRINE	ADC_ANTIBODY	Loncastuximab tesirine	Zynlonta			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE
ADC_ANTIBODY_TISOTUMAB_VEDOTIN	ADC_ANTIBODY	Tisotumab vedotin	Tivdak			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_TISOTUMAB_VEDOTIN
ADC_ANTIBODY_MIRVETUXIMAB_SORAVTANSINE	ADC_ANTIBODY	Mirvetuximab soravtansine	Elahere			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE
ADC_ANTIBODY_DISITAMAB_VEDOTIN	ADC_ANTIBODY	Disitamab vedotin	Aidixi			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_DISITAMAB_VEDOTIN
ADC_ANTIBODY_DATOPOTAMAB_DERUXTECAN	ADC_ANTIBODY	Datopotamab deruxtecan	Datroway			1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN
