indication	n_adc_candidates
Breast Cancer	7
Metastatic Breast Cancer	6
Bladder Cancer	6
Advanced Solid Tumor	5
Lymphoma	4
Anatomic Stage IV Breast Cancer AJCC v8	4
Breast Cancer Female	4
Gastric Cancer	4
HER2-positive Breast Cancer	4
Urothelial Carcinoma	4
Breast Neoplasms	4
Cervical Cancer	4
Ovarian Cancer	4
Triple Negative Breast Neoplasms	4
Carcinoma, Non-Small-Cell Lung	4
Chronic Lymphocytic Leukemia	3
Lymphoma, Large B-Cell, Diffuse	3
Non-Hodgkin Lymphoma	3
Anatomic Stage III Breast Cancer AJCC v8	3
Breast Cancer Metastatic	3
Prognostic Stage IV Breast Cancer AJCC v8	3
Recurrent Breast Carcinoma	3
Stage IV Breast Cancer	3
High Grade B-Cell Lymphoma With MYC and BCL2 and/or BCL6 Rearrangements	3
Lymphoma, Follicular	3
Diffuse Large B-Cell Lymphoma	3
Diffuse Large B-cell Lymphoma	3
Follicular Lymphoma	3
Advanced Breast Cancer	3
Endometrial Cancer	3
HER2-negative Breast Cancer	3
Non-Small Cell Lung Cancer	3
Prostate Cancer	3
Solid Tumor	3
Acute Myelogenous Leukemia	2
Acute Myeloid Leukemia	2
Ann Arbor Stage III Hodgkin Lymphoma	2
Ann Arbor Stage IV Hodgkin Lymphoma	2
Hodgkin Lymphoma	2
Lymphoma, B-Cell	2
Lymphoma, B-cell	2
Lymphoma, Non-Hodgkin	2
Recurrent Follicular Lymphoma	2
Recurrent Hodgkin Lymphoma	2
Refractory Follicular Lymphoma	2
Refractory Hodgkin Lymphoma	2
Solid Tumors	2
Advanced Breast Carcinoma	2
Advanced Malignant Solid Neoplasm	2
Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	2
Endometrial Carcinoma	2
Estrogen Receptor-positive Breast Cancer	2
HER2 Positive Breast Carcinoma	2
HER2-Positive Primary Breast Cancer	2
Hematopoietic and Lymphoid Cell Neoplasm	2
Melanoma	2
Metastatic Breast Carcinoma	2
Metastatic Malignant Solid Neoplasm	2
Metastatic Pancreatic Adenocarcinoma	2
Metastatic Salivary Gland Carcinoma	2
Multiple Myeloma	2
Neoplasm Metastasis	2
Recurrent Acute Lymphoblastic Leukemia	2
Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive	2
Recurrent Multiple Myeloma	2
Recurrent Ovarian Carcinoma	2
Recurrent Plasma Cell Myeloma	2
Recurrent Salivary Gland Carcinoma	2
Recurrent Small Lymphocytic Lymphoma	2
Refractory Acute Lymphoblastic Leukemia	2
Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive	2
Refractory Malignant Solid Neoplasm	2
Refractory Multiple Myeloma	2
Refractory Non-Hodgkin Lymphoma	2
Refractory Plasma Cell Myeloma	2
Refractory Small Lymphocytic Lymphoma	2
Residual Invasive Breast Cancer	2
Stage III Major Salivary Gland Cancer AJCC v8	2
Stage III Pancreatic Cancer AJCC v8	2
Stage IV Major Salivary Gland Cancer AJCC v8	2
Stage IV Pancreatic Cancer AJCC v8	2
Unresectable Pancreatic Adenocarcinoma	2
Unresectable Salivary Gland Carcinoma	2
Acute Lymphoblastic Leukemia	2
B-Cell Lymphoma	2
Diffuse Large B Cell Lymphoma	2
High Grade B-Cell Lymphoma, Not Otherwise Specified	2
B-Cell Non-Hodgkin Lymphoma	2
Burkitt Lymphoma	2
Diffuse, Large B-Cell, Lymphoma	2
High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements	2
High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements	2
High-grade B-cell Lymphoma	2
Large B-cell Lymphoma	2
Lymphoma, Mantle-Cell	2
Mantle Cell Lymphoma	2
Recurrent B-Cell Non-Hodgkin Lymphoma	2
Recurrent Diffuse Large B-Cell Lymphoma	2
Recurrent Mantle Cell Lymphoma	2
Refractory B-Cell Non-Hodgkin Lymphoma	2
Refractory Diffuse Large B-Cell Lymphoma	2
Refractory Mantle Cell Lymphoma	2
Relapsed B-Cell Non-Hodgkin Lymphoma	2
Cancer	2
Locally Advanced Urothelial Carcinoma	2
Metastatic Bladder Urothelial Carcinoma	2
Metastatic Urothelial Carcinoma	2
Non-muscle Invasive Bladder Cancer	2
Stage IV Bladder Cancer AJCC v8	2
Unresectable Urothelial Carcinoma	2
Additional Indications Below for Module 4 and 5	2
Advanced Gastroesophageal Junction Adenocarcinoma	2
Biliary Cancer	2
Brain Metastases	2
Breast Cancer Stage IV	2
HER2-positive	2
Breast Tumors	2
Chemotherapy-induced Alopecia	2
Colorectal Cancer	2
Early-stage Breast Cancer	2
Gastroesophageal Junction Adenocarcinoma	2
HER-2 Protein Overexpression	2
HER2-low Breast Cancer	2
HER2-positive Gastric Cancer	2
Invasive Breast Cancer	2
Locally Advanced Breast Cancer	2
Metastatic Malignant Neoplasm in the Brain	2
Non-small Cell Lung Cancer	2
Pancreatic Cancer	2
Recurrent Osteosarcoma	2
Small Cell Lung Cancer Only in Module 5	2
Stage III Breast Cancer	2
Unresectable Breast Carcinoma	2
Lung Cancer	2
Metastatic Triple-Negative Breast Carcinoma	2
Squamous Cell Carcinoma of Head and Neck	2
Triple Negative Breast Cancer	2
Triple-Negative Breast Carcinoma	2
Colorectal Neoplasms	2
Fallopian Tube Cancer	2
Peritoneal Cancer	2
HER2 Positive Breast Neoplasms	2
Non Small Cell Lung Cancer	2
Small Cell Lung Cancer	2
Advanced Non-Small Cell Squamous Lung Cancer	2
Leukemia	1
Leukemia, Myeloid	1
Leukemia, Myeloid, Acute	1
Myelodysplastic Syndrome	1
Myelodysplastic Syndromes	1
Novo Acute Myeloid Leukemia	1
AIDS-Related Hodgkin Lymphoma	1
Acute Lymphoid Leukemia	1
Adult Lymphocyte Depletion Hodgkin Lymphoma	1
Adult Lymphocyte Predominant Hodgkin Lymphoma	1
Adult Mixed Cellularity Hodgkin Lymphoma	1
Adult Nodular Sclerosis Hodgkin Lymphoma	1
Adult T-Cell Leukemia/Lymphoma	1
Adult T-cell Leukemia/Lymphoma	1
Anaplastic Large Cell Lymphoma	1
Anaplastic Large Cell Lymphoma, ALK-Negative	1
Anaplastic Large Cell Lymphoma, ALK-Positive	1
Anaplastic Large-Cell Lymphoma	1
Anaplastic Large-cell Lymphoma	1
Anemia, Refractory, With Excess of Blasts	1
Angioimmunoblastic T-Cell Lymphoma	1
Angioimmunoblastic T-cell Lymphoma	1
Ann Arbor Stage I Hodgkin Lymphoma	1
Ann Arbor Stage I Lymphocyte-Depleted Classic HL	1
Ann Arbor Stage I Mixed Cellularity Classic Hodgkin Lymphoma	1
Ann Arbor Stage I Nodular Sclerosis Classic Hodgkin Lymphoma	1
Ann Arbor Stage I Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IA Hodgkin Lymphoma	1
Ann Arbor Stage IB Hodgkin Lymphoma	1
Ann Arbor Stage II Hodgkin Lymphoma	1
Ann Arbor Stage II Lymphocyte-Depleted Classic HL	1
Ann Arbor Stage II Mixed Cellularity Classic HL	1
Ann Arbor Stage II Nodular Sclerosis Classic HL	1
Ann Arbor Stage II Noncutaneous Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage II Noncutaneous Childhood Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage II Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IIA Hodgkin Lymphoma	1
Ann Arbor Stage IIB Hodgkin Lymphoma	1
Ann Arbor Stage III Lymphocyte-Depleted Classic Hodgkin Lymphoma	1
Ann Arbor Stage III Mixed Cellularity Classic Hodgkin Lymphoma	1
Ann Arbor Stage III Nodular Sclerosis Classic Hodgkin Lymphoma	1
