entity_id	entity_type	canonical_label	aliases	first_seen	last_seen	evidence_count	evidence_sources	confidence	status	associated_adc_candidates
ADC_TARGET_CD33	ADC_TARGET	CD33				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN
ADC_TARGET_CD30	ADC_TARGET	CD30				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN
ADC_TARGET_HER2	ADC_TARGET	HER2				3	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_DISITAMAB_VEDOTIN
ADC_TARGET_CD22	ADC_TARGET	CD22				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN
ADC_TARGET_CD79B	ADC_TARGET	CD79b				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_POLATUZUMAB_VEDOTIN
ADC_TARGET_NECTIN4	ADC_TARGET	Nectin-4				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_ENFORTUMAB_VEDOTIN
ADC_TARGET_TROP2	ADC_TARGET	Trop-2				2	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_SACITUZUMAB_GOVITECAN; ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN
ADC_TARGET_BCMA	ADC_TARGET	BCMA				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_BELANTAMAB_MAFODOTIN
ADC_TARGET_CD19	ADC_TARGET	CD19				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE
ADC_TARGET_TISSUEFACTOR	ADC_TARGET	Tissue Factor				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_TISOTUMAB_VEDOTIN
ADC_TARGET_FOLATERECEPTORALPHA	ADC_TARGET	Folate receptor alpha				1	configs/known_adc_assets.yaml	high	VALIDATED	ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE
