candidate_id	candidate_type	candidate_label	source	evidence_id	context	first_seen	confidence	validation_status	reason	modality_classification	modality_detail
KNOWN_GEMTUZUMAB_OZOGAMICIN	ADC_CANDIDATE	Gemtuzumab ozogamicin	configs/known_adc_assets.yaml	gemtuzumab_ozogamicin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_BRENTUXIMAB_VEDOTIN	ADC_CANDIDATE	Brentuximab vedotin	configs/known_adc_assets.yaml	brentuximab_vedotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_TRASTUZUMAB_EMTANSINE	ADC_CANDIDATE	Trastuzumab emtansine	configs/known_adc_assets.yaml	trastuzumab_emtansine	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_INOTUZUMAB_OZOGAMICIN	ADC_CANDIDATE	Inotuzumab ozogamicin	configs/known_adc_assets.yaml	inotuzumab_ozogamicin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_POLATUZUMAB_VEDOTIN	ADC_CANDIDATE	Polatuzumab vedotin	configs/known_adc_assets.yaml	polatuzumab_vedotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_ENFORTUMAB_VEDOTIN	ADC_CANDIDATE	Enfortumab vedotin	configs/known_adc_assets.yaml	enfortumab_vedotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_TRASTUZUMAB_DERUXTECAN	ADC_CANDIDATE	Trastuzumab deruxtecan	configs/known_adc_assets.yaml	trastuzumab_deruxtecan	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_SACITUZUMAB_GOVITECAN	ADC_CANDIDATE	Sacituzumab govitecan	configs/known_adc_assets.yaml	sacituzumab_govitecan	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_BELANTAMAB_MAFODOTIN	ADC_CANDIDATE	Belantamab mafodotin	configs/known_adc_assets.yaml	belantamab_mafodotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_LONCASTUXIMAB_TESIRINE	ADC_CANDIDATE	Loncastuximab tesirine	configs/known_adc_assets.yaml	loncastuximab_tesirine	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_TISOTUMAB_VEDOTIN	ADC_CANDIDATE	Tisotumab vedotin	configs/known_adc_assets.yaml	tisotumab_vedotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_MIRVETUXIMAB_SORAVTANSINE	ADC_CANDIDATE	Mirvetuximab soravtansine	configs/known_adc_assets.yaml	mirvetuximab_soravtansine	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_DISITAMAB_VEDOTIN	ADC_CANDIDATE	Disitamab vedotin	configs/known_adc_assets.yaml	disitamab_vedotin	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
KNOWN_DATOPOTAMAB_DERUXTECAN	ADC_CANDIDATE	Datopotamab deruxtecan	configs/known_adc_assets.yaml	datopotamab_deruxtecan	curated known-asset registry entry, independently verified in prior audits (PR #17)		high	PROMOTED	pre-curated, independently verified known ADC asset	STRICT_ADC	
