target	target_entity_id	indication	supporting_asset_count	supporting_adc_candidates	confidence	status
HER2	ADC_TARGET_HER2	Breast Cancer	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	Breast Neoplasms	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	Gastric Cancer	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	HER2 Positive Breast Carcinoma	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	HER2 Positive Breast Neoplasms	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	HER2-positive	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	HER2-positive Breast Cancer	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	HER2-positive Gastric Cancer	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	Metastatic Breast Cancer	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
HER2	ADC_TARGET_HER2	Triple Negative Breast Neoplasms	3	ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	high	OBSERVED_CLINICAL_ASSOCIATION
