entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
TAR0OFMSA	40S ribosomal protein SA (RPSA)	ADC_TARGET	LAMBR; LAMR1; 37 kDa laminin receptor precursor;37/67 kDa laminin receptor;67 kDa laminin receptor;Colon carcinoma laminin-binding protein;Laminin receptor 1;Laminin-binding protein precursor p40;Multidrug resistance-associated protein MGr1-Ag;NEM/1CHD4;Small ribosomal subunit protein uS2	1	Anti-Laminin receptor monoclonal antibody-liposomal doxorubicin conjugate		https://adcdb.idrblab.net/data/abt/details/TAR0OFMSA
TAR0PPNOI	5'-nucleotidase (NT5E)	ADC_TARGET	NT5; NTE; 5'-deoxynucleotidase;Ecto-5'-nucleotidase;IMP-specific 5'-nucleotidase;Thymidylate 5'-phosphatase;CD_antigen=CD73	4		DRG0EZYUP; DRG0IOOGP; DRG0JKQOU; DRG0MSZBZ	https://adcdb.idrblab.net/data/abt/details/TAR0PPNOI
TAR0YLQCG	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (CD38)	ADC_TARGET	2'-phospho-ADP-ribosyl cyclase;2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase;2'-phospho-cyclic-ADP-ribose transferase;ADP-ribosyl cyclase 1;Cyclic ADP-ribose hydrolase 1;T10;CD_antigen=CD38	11		DRG0AFUPR; DRG0CPRLB; DRG0DXZEU; DRG0GDLEY; DRG0GEQGO; DRG0LDUSP; DRG0MGBXM; DRG0OGBCN; DRG0VUCWI; DRG0VYZQT; DRG0XXQVC	https://adcdb.idrblab.net/data/abt/details/TAR0YLQCG
TAR0VKQOZ	AF4/FMR2 family member 4 (AFF4)	ADC_TARGET	AF5Q31; MCEF; HSPC092; ALL1-fused gene from chromosome 5q31 protein;Major CDK9 elongation factor-associated protein	1	LCB-97		https://adcdb.idrblab.net/data/abt/details/TAR0VKQOZ
TAR0KWONZ	AG7	ADC_TARGET		2		DRG0BAANV; DRG0YKHCA	https://adcdb.idrblab.net/data/abt/details/TAR0KWONZ
TAR0RMVXR	ALK tyrosine kinase receptor (ALK)	ADC_TARGET	Anaplastic lymphoma kinase;CD_antigen=CD246	3	CDX-0125-TEI; DRG0AELSJ; DRG0WPASO		https://adcdb.idrblab.net/data/abt/details/TAR0RMVXR
TAR0YVQUD	AbGn-7 antigen	ADC_TARGET		1	AbGn-107		https://adcdb.idrblab.net/data/abt/details/TAR0YVQUD
TAR0PDIRR	Adhesion G-protein coupled receptor G1 (ADGRG1)	ADC_TARGET	G-protein coupled receptor 56;Protein TM7XN1	1	GPR56-ADC		https://adcdb.idrblab.net/data/abt/details/TAR0PDIRR
TAR0VAQEF	Advanced glycosylation end product-specific receptor (AGER)	ADC_TARGET	RAGE; Receptor for advanced glycosylation end products	1	RBGO1-mcF		https://adcdb.idrblab.net/data/abt/details/TAR0VAQEF
TAR0ZFUOH	Albumin (ALB)	ADC_TARGET		11	Alb-DMBA-SIL-DOX; Alb-DMBA-SIL-MMAE; DRG0EFMTL; DRG0HYIPN; DRG0QRDCA; DRG0VAGBP; DRG0VXVBG; DRG0VZKXL; DRG0WGUEL; DRG0WIAAS; DRG0WRQRY		https://adcdb.idrblab.net/data/abt/details/TAR0ZFUOH
TAR0YDDCE	Alkaline phosphatase, germ cell type (ALPG); Alkaline phosphatase, placental type (ALPP)	ADC_TARGET		1		DRG0PLPNX	https://adcdb.idrblab.net/data/abt/details/TAR0YDDCE
TAR0OCELX	Alkaline phosphatase, germ cell type (ALPG)	ADC_TARGET	ALP-1;Alkaline phosphatase Nagao isozyme;Alkaline phosphatase, placental-like;Germ cell alkaline phosphatase;Placental alkaline phosphatase-like	2	M25ADCMMAE; M25ADCMMAF		https://adcdb.idrblab.net/data/abt/details/TAR0OCELX
TAR0GODDK	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase (ST8SIA1)	ADC_TARGET		1	PF-06688992		https://adcdb.idrblab.net/data/abt/details/TAR0GODDK
TAR0YXJAE	Amino acid transporter (ASCT2)	ADC_TARGET		7	DRG0EPZKH; DRG0FEAKX; DRG0JNJQT; DRG0KZHJX; DRG0OFYSG; DRG0UXHIX; MEDI7247		https://adcdb.idrblab.net/data/abt/details/TAR0YXJAE
TAR0ZCIPA	Aminopeptidase N (ANPEP)	ADC_TARGET	APN; CD13; PEPN; Alanyl aminopeptidase;Aminopeptidase M;Microsomal aminopeptidase;Myeloid plasma membrane glycoprotein CD13;gp150;CD_antigen=CD13	1	MI-130110		https://adcdb.idrblab.net/data/abt/details/TAR0ZCIPA
TAR0HXNLQ	Amphiregulin (AREG)	ADC_TARGET	Colorectum cell-derived growth factor	1	GMF-1A3-MMAE		https://adcdb.idrblab.net/data/abt/details/TAR0HXNLQ
TAR0CCDQN	Amyloid beta precursor like protein 2 (APLP2); Receptor tyrosine-protein kinase erbB-2 (ERBB2)	ADC_TARGET		1	APLP2/HER2 antibody-drug conjugate		https://adcdb.idrblab.net/data/abt/details/TAR0CCDQN
TAR0YJEGU	Anoctamin-1 (ANO1)	ADC_TARGET	Discovered on gastrointestinal stromal tumors protein 1; Oral cancer overexpressed protein 2; Transmembrane protein 16A; Tumor-amplified and overexpressed sequence 2	1	Anti-DOG1-DM4-ADC		https://adcdb.idrblab.net/data/abt/details/TAR0YJEGU
TAR0YXUAF	Anthrax toxin receptor 1 (ANTXR1)	ADC_TARGET	Tumor endothelial marker 8	1	BVD-TEM8 ADC		https://adcdb.idrblab.net/data/abt/details/TAR0YXUAF
TAR0DQHIR	Anthrax toxin receptor 2 (ANTXR2)	ADC_TARGET	Capillary morphogenesis gene 2 protein	1	H8R23-DT3C		https://adcdb.idrblab.net/data/abt/details/TAR0DQHIR
TAR0XXLLG	Apolipoprotein D (APOD)	ADC_TARGET		1	Anti-ApoD PBD		https://adcdb.idrblab.net/data/abt/details/TAR0XXLLG
TAR0SNDDA	Asialoglycoprotein receptor 1 (ASGR1)	ADC_TARGET	CLEC4H1; C-type lectin domain family 4 member H1;Hepatic lectin H1	2		DRG0EGZQD; DRG0FOESY	https://adcdb.idrblab.net/data/abt/details/TAR0SNDDA
TAR0RTOLA	Aspartyl/asparaginyl beta-hydroxylase (ASPH)	ADC_TARGET	BAH; Aspartate beta-hydroxylase;Peptide-aspartate beta-dioxygenase	4	DRG0BPDAE; SNS-622-DM1; SNS-622-DUO; SNS-622-MMAE		https://adcdb.idrblab.net/data/abt/details/TAR0RTOLA
TAR0KZVDX	B-cell antigen receptor complex-associated protein beta chain (CD79B)	ADC_TARGET	B29; IGB; B-cell-specific glycoprotein B29;Ig-beta;Immunoglobulin-associated B29 protein;CD_antigen=CD79b	32		DRG0AEDQO; DRG0AZRNL; DRG0BLBXJ; DRG0BUMOY; DRG0DAUKA; DRG0DXTSZ; DRG0FMPLP; DRG0FUAMG; DRG0GENGQ; DRG0GEOJG; DRG0GHMXV; DRG0HCLXN; DRG0HHXSQ; DRG0HJTDJ; DRG0IOEVI; DRG0JHCAK; DRG0JNSNG; DRG0NDOBI; DRG0NESBF; DRG0OLXNM; DRG0PILJC; DRG0QARSL; DRG0QLVVC; DRG0QWZIT; DRG0RTQFI; DRG0UIRER; DRG0URTCC; DRG0VKIMH; DRG0WFEII; DRG0WPFIV	https://adcdb.idrblab.net/data/abt/details/TAR0KZVDX
