nar_adc_id	canonical_name	phase_bucket	drug_status	brand_name	synonyms	development_codes	antigen_name	payload_moa_target	antibody_name	payload_name	linker_name	indications	companies	reference_count	reference_dois	nct_ids
DRG0AAJTS	ETX-22	Investigative	Investigative		ETx22; Etx 22		Nectin-4 (NECTIN4)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Emergence Therapeutics AG	0		
DRG0ADKKF	AbGn-108	Investigative	Investigative		AbGn 108; AbGn108		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Lung cancer Clinical candidate Ovarian cancer Clinical candidate	AbGenomics International, Inc	0		
DRG0AHKIO	MTX-13	Phase1	Phase 1						Ab13	Exatecan	T1000	Oesophageal cancer		0		NCT06752681
DRG0AJCCS	BAT-8008	Phase1	Phase 1						Undisclosed	Exatecan		Solid tumor		0		
DRG0AKFYV	Raludotatug deruxtecan	Investigative	Investigative Drug-to-Antibody Ratio 8 3D		Raludotatug deruxtecan		Cadherin-6 (CDH6)	DNA topoisomerase 1 (TOP1)	Raludotatug	DX-8951 derivative (DXd)	Mc-Gly-Gly-Phe-Gly	Antibody Name: Raludotatug		0		
DRG0ALCYL	NKTR-288	Investigative	Investigative		NKTR 288; NKTR288		Interferon alpha-1/13 (IFNA1; IFNA13)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Nektar Therapeutics	0		
DRG0AMZIS	DN-028	Investigative	Investigative		DN028; DN 028		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Piistech; Shanghai Gopherwood Biotech Co., Ltd	0		
DRG0ANRPC	JSKN021	Phase1	Phase 1						Anti-EGFR/HER3 bsAb	MMAE	A cleavable linker	Unspecific solid tumor		0		NCT07617727
DRG0AQITP	RG-7636	Phase1	Phase 1						MEDN6000A	Monomethyl auristatin E	Mc-Val-Cit-PABC	Melanoma		0		
DRG0ARHOG	BIIB-015	Phase1	Phase 1 (Terminated)		Anti-CRIPTO; Anti-Cripto mAB; Anti-Cripto-DM4; BIIB 015; BIIB-015; BIIB015		Teratocarcinoma-derived growth factor 1 (TDGF1)	Microtubule (MT)	Anti-TDGF1 mAb huB3F6	Mertansine DM4	N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB)	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	Biogen, Inc	2		NCT00674947
DRG0ARIWN	CMD-193	Phase1	Phase 1 (Terminated)		CD193; CMD 193; CMD-193; Hu3S193-CM; Hu3S193-CalichDMH		Lewis Y	Human Deoxyribonucleic acid (hDNA)	Anti-Lewis-Y mAb G193	N-acetyl-gamma-calicheamicin	AcButDMH	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Wyeth AB; Pfizer Inc	4	10.1158/1078-0432.CCR-04-0037.	NCT00161642; NCT00257881; NCT00293215
DRG0ASYKZ	Izeltabart tapatansine	Investigative	Investigative		Izeltabart tapatansine		Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9)		Undisclosed	Undisclosed	Undisclosed	Renal transplant rejection (; Investigative)		0		
DRG0ATULB	Laprituximab emtansine	Phase1	Phase 1 (Terminated)		IMGN 289; IMGN-289; IMGN2 89; IMGN289; J2898A-SMCC-DM1; Laprituximab emtansine		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	Laprituximab	Mertansine DM1	Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC)	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	ImmunoGen, Inc	3		NCT01963715
DRG0AUAOQ	ZL-6201	Phase1	Phase 1						Anti-LRRC15 antibody	YL0010014	VK*G-NHCH2-O linker	Sarcomas		0		NCT07374848
DRG0AVEQT	SYD1091	Investigative	Investigative		WO2015177360A1_ADC-HC41; SYD 1091; SYD-1091		Glutamate carboxypeptidase 2 (FOLH1)	Human Deoxyribonucleic acid (hDNA)	Anti-PSMA mAb wt HC S41C	seco-DUBA	Mal-PEG2-Val-Cit-PABA-Cyclization Spacer	Prostate cancer; Investigative Drug-to-Antibody Ratio 1.7 3D	Byodes Private Ltd	1		
DRG0AVJCO	AOC-1020	Phase2	Phase 2		AOC 1020; AOC-1020; AOC-FSHD; AOC1020		Transferrin receptor protein 1 (TFRC)	Double homeobox protein 4 (DUX4)	Delpacibart	DUX4 siRNA	Undisclosed Conjugate Type Random Cysteines Combination Type braxlosiran Special	Muscular dystrophy; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Avidity Biosciences, Inc	1		NCT05747924
DRG0AWQJG	PF-06804103	Phase1	Phase 1 (Terminated)		Anti-HER2 ADC (Pfizer Inc.); Anti-NG-HER2 ADC; NG-HER2 ADC; PF 06804103; PF-06804103; PF-06804103, NG-HER2 ADC; PF06804103; anti-HER2-vc0101; anti-HER2-vcAur0101 ADC		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	T-(kK183C+K290C)	Auristatin 0101	Mc-Val-Cit-PABC	Breast cancer; Phase 1 Clinical Trial Gastric cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Pfizer Inc	1		
DRG0AWSBJ	HDP-104	Investigative	Investigative		HDP 104; HDP104		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Gastroesophageal cancer Clinical candidate	Heidelberg Pharma AG	0		
DRG0AWUIJ	Indatuximab ravtansine	Phase2	Phase 1/2 (Terminated)		Anti-myeloma monoclonal antibody-DM4 immunoconjugate BT-062; BT-062; Indatuximab ravtansine; Maytansinoid-conjugated anti-myeloma monoclonal antibody BT-062; nBT-062		Syndecan-1 (SDC1)	Microtubule (MT)	Indatuximab	Mertansine DM4	N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB)	Multiple myeloma; Phase 2 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	Biotest Pharma GmbH; Biotest AG	4		NCT00723359; NCT01638936
DRG0AXDIU	IIIA4-USAN	Investigative	Investigative		Anti-EphA3 antibody-drug conjugate (Humanigen); Anti-EphA3 antibody-drug conjugate		Ephrin type-A receptor 3 (EPHA3)	Microtubule (MT)	Anti-EPHA3 mAb IIIA4	Mertansine DM1	Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC)	Glioblastoma Clinical candidate Drug-to-Antibody Ratio 2.81 3D	Humanigen, Inc	0		
