indication	n_nar_assets
Solid tumor	90
Breast cancer	67
Solid tumors Clinical candidate	52
Phase 2 Clinical Trial Solid tumor	48
Unspecific solid tumor	46
Lung cancer	41
Investigative)	29
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	29
Phase 1 Clinical Trial Solid tumor	28
Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	25
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	25
Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	19
Phase 1 Clinical Trial Ovarian cancer	19
Phase 2 Clinical Trial Lung cancer	18
Phase 1 Clinical Trial Lung cancer	18
Phase 2 Clinical Trial Drug-to-Antibody Ratio 4 3D	16
Prostate cancer	14
Phase 2 Clinical Trial Pancreatic cancer	14
Phase 1 Clinical Trial Unspecific non-hodgkin lymphoma	14
Ovarian cancer	14
Multiple myeloma	13
Acute myeloid leukaemia	13
Phase 2 Clinical Trial Oesophageal cancer	13
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	12
Phase 1 Clinical Trial Gastric cancer	12
Phase 2 Clinical Trial Prostate cancer	12
Colorectal cancer	12
Gastric cancer	12
Phase 1 Clinical Trial Oesophageal cancer	11
Phase 2 Clinical Trial Head and neck cancer	11
Phase 2 Clinical Trial Ovarian cancer	11
Phase 1 Clinical Trial Drug-to-Antibody Ratio 8	11
Oesophageal cancer	10
Phase 3 Clinical Trial Biliary tract cancer	10
Phase 2 Clinical Trial Colorectal cancer	10
Phase 1 Clinical Trial Pancreatic cancer	10
Phase 2 Clinical Trial Endometrial cancer	10
Solid tumors (	10
Phase 3 Clinical Trial Solid tumor	10
Phase 2 Clinical Trial Gastric cancer	9
Phase 1 Clinical Trial Colorectal cancer	9
Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed	8
Phase 2 Clinical Trial Unspecific non-hodgkin lymphoma	8
Unspecific non-hodgkin lymphoma	7
Phase 1 Clinical Trial Head and neck cancer	7
Phase 2 Clinical Trial Urothelial cancer	7
Solid tumors Clinical candidate 3D	7
Phase 2 Clinical Trial Drug-to-Antibody Ratio 8 3D	7
Phase 1 Clinical Trial Endometrial cancer	7
Phase 1 Clinical Trial Melanoma	7
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2	7
Urothelial cancer	6
Solid tumors IND	6
Gastroesophageal junction adenocarcinoma	6
Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	6
Fallopian tube cancer	6
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5 3D	6
Phase 3 Clinical Trial Breast cancer	6
Cervical cancer	6
Phase 2 Clinical Trial Breast cancer	6
Phase 1 Clinical Trial Drug-to-Antibody Ratio 8 3D	6
Investigative Drug-to-Antibody Ratio 2 3D	6
Phase 2 Clinical Trial Peritoneal cancer	6
Acute lymphoblastic leukemia	6
Kidney cancer	6
Phase 2 Clinical Trial Diffuse large B-cell lymphoma	6
Phase 2 Clinical Trial Drug-to-Antibody Ratio 2 3D	6
Phase 1 Clinical Trial Breast cancer	5
Phase 3 Clinical Trial Endometrial cancer	5
Phase 2 Clinical Trial Cervical cancer	5
Phase 2 Clinical Trial Oral cavity cancer	5
Phase 1 Clinical Trial Peritoneal cancer	5
Phase 3 Clinical Trial Lung cancer	5
Phase 1 Clinical Trial Fallopian tube cancer	5
Brain cancer	5
Burkitt lymphoma	5
Phase 2 Clinical Trial Fallopian tube cancer	5
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4	5
Diffuse large B-cell lymphoma	5
Breast cancer (	5
Melanoma	4
Sarcomas	4
Pancreatic cancer	4
Phase 2 Clinical Trial Liver cancer	4
Approved Approval Document Lung cancer	4
Phase 3 Clinical Trial Gastric cancer	4
Phase 3 Clinical Trial Ovarian cancer	4
Phase 1 Clinical Trial Kidney cancer	4
Phase 2 Clinical Trial Melanoma	4
Breast cancer Clinical candidate	4
Head and neck cancer	4
Phase 1 Clinical Trial Urothelial cancer	4
Phase 2 Clinical Trial Pleura mesothelioma	4
Phase 3 Clinical Trial Peritoneal cancer	4
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.8 3D	4
Phase 2 Clinical Trial Acute myeloid leukaemia	4
Chronic lymphocytic leukemia	4
Phase 1 Clinical Trial Follicular lymphoma	4
Approved Approval Document Colorectal cancer	3
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.8 3D	3
Biliary tract cancer	3
Phase 2 Clinical Trial Drug-to-Antibody Ratio 4	3
Phase 3 Clinical Trial Oesophageal cancer	3
Tumor	3
Investigative Ovarian cancer	3
Approved Approval Document Gastric cancer	3
Phase 2 Clinical Trial Multiple myeloma	3
Phase 2 Clinical Trial Osteosarcoma	3
Phase 1 Clinical Trial Prostate cancer	3
Phase 3 Clinical Trial Urothelial cancer	3
Phase 2 Clinical Trial Kidney cancer	3
Ovarian cancer Clinical candidate	3
Investigative Drug-to-Antibody Ratio 2	3
Phase 2 Clinical Trial Myelodysplastic syndrome	3
Phase 2 Clinical Trial Acute lymphoblastic leukemia	3
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 3D	3
Triple negative breast cancer Clinical candidate	3
B-cell lymphoma Clinical candidate	3
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	2
Phase 2 Clinical Trial Penile cancer	2
Breast cancer Clinical candidate Non-small cell lung cancer Clinical candidate	2
Colorectal cancer (	2
B-cell lymphoma	2
Phase 1 Clinical Trial Liver cancer	2
Phase 3 Clinical Trial Colorectal cancer	2
Autoimmune disorder Clinical candidate Solid tumors Clinical candidate	2
Phase 2 Clinical Trial Nasopharyngeal cancer	2
Phase 1 Clinical Trial Cervical cancer	2
Phase 2 Clinical Trial Drug-to-Antibody Ratio 7.6 3D	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 1.9 3D	2
Colon cancer	2
Investigative Lung cancer	2
Approved Approval Document Biliary tract cancer	2
Phase 3 Clinical Trial Brain cancer	2
Hepatocellular carcinoma (	2
Phase 1 Clinical Trial Myelodysplastic syndrome	2
Rheumatoid arthritis	2
Small cell lung cancer Clinical candidate	2
Phase 2 Clinical Trial Drug-to-Antibody Ratio 8	2
Investigative Pancreatic ductal adenocarcinoma	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 6	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4.2 3D	2
Solid tumors	2
Investigative Drug-to-Antibody Ratio 4	2
Multiple myeloma Clinical candidate 3D	2
Approved Approval Document Acute lymphoblastic leukemia	2
Lung cancer Clinical candidate	2
Phase 3 Clinical Trial Pancreatic cancer	2
Phase 1 Clinical Trial Diffuse large B-cell lymphoma	2
Antibody Name: Undisclosed	2
Investigative Drug-to-Antibody Ratio 3.6 3D	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 10 to 12 3D	2
Solid tumors Clinical candidate Drug-to-Antibody Ratio 2 3D	2
Investigative 3D	2
Investigative Pleural mesothelioma	2
Investigative Drug-to-Antibody Ratio 1 3D	2
Phase 1 Clinical Trial Pleura mesothelioma	2
Investigative Pancreatic cancer	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.7 3D	2
Phase 2 Clinical Trial Chronic lymphocytic leukemia	2
Phase 2 Clinical Trial Drug-to-Antibody Ratio 2	2
Ovarian cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	2
Diffuse large b-cell lymphoma	2
Breast cancer Clinical candidate 3D	2
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2.3 3D	2
Investigative Drug-to-Antibody Ratio 1.8 3D	2
Investigative Renal cell carcinoma	2
Phase 1 Clinical Trial Chronic lymphocytic leukemia	2
Lung cancer Clinical candidate Ovarian cancer Clinical candidate	1
Antibody Name: Raludotatug	1
Renal transplant rejection (	1
Investigative Drug-to-Antibody Ratio 1.7 3D	1
Muscular dystrophy	1
Gastroesophageal cancer Clinical candidate	1
Glioblastoma Clinical candidate Drug-to-Antibody Ratio 2.81 3D	1
Breast cancer Clinical candidate Lung cancer Clinical candidate Neuroblastoma Clinical candidate Prostate cancer Clinica	1
Phase 2 Clinical Trial Testicular cancer	1
Adenocarcinoma Clinical candidate	1
Phase 1 Clinical Trial Oral cavity cancer	1
Epithelial ovarian cancer Clinical candidate	1
Breast cancer Clinical candidate Colorectal cancer Clinical candidate Gastric cancer Clinical candidate Lung cancer Clin	1
Approved Approval Document Cervical cancer	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 7 to 8 3D	1
Investigative Burkitt lymphoma	1
Investigative Mantle cell lymphoma	1
Investigative Drug-to-Antibody Ratio 6 3D	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.5-4.5 3D	1
Approved Approval Document Breast cancer	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 5.3 to 6.4 3D	1
Glaucoma	1
Investigative Multiple sclerosis	1
Investigative Parkinson disease	1
Investigative Spinal cord injury	1
Investigative Stroke	1
Investigative Traumatic brain injury (	1
Investigative Drug-to-Antibody Ratio 3.8-4 3D	1
Approved Approval Document Solid tumor	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.1 3D	1
Bladder cancer Clinical candidate	1
Neuroblastoma IND	1
Non-small cell lung cancer (EGFR C797S mutation) IND Non-small cell lung cancer (EGFR exon 19 deletions) IND Non-small c	1
Anal cancer	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 2.7 3D	1
Solid tumor Phase 1 Research Article Drug-to-Antibody Ratio 4 3D	1
Gastric cancer Clinical candidate Pancreatic cancer Clinical candidate 3D	1
Colorectal cancer Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Heart failure (	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 4	1
Cholangiocarcinoma Clinical candidate Colorectal cancer Clinical candidate Gastric cancer Clinical candidate Head and ne	1
Acute myeloid leukaemia Clinical candidate Hodgkin lymphoma Clinical candidate Non Hodgkin lymphoma Clinical candidate	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 1.3 to 3.8 3D	1
Hepatitis B viral hepatitis Clinical candidate	1
Phase 2 Clinical Trial Biliary tract cancer	1
Colorectal cancer Clinical candidate Lymphoma Clinical candidate Melanoma Clinical candidate	1
Phase 2 Clinical Trial Brain cancer	1
Phase 2 Clinical Trial Thymus cancer	1
Phase 2 Clinical Trial Thyroid cancer	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.2 3D	1
Colorectal cancer Clinical candidate Pancreatic cancer Clinical candidate 3D	1
Investigative Rectal cancer	1
Investigative Drug-to-Antibody Ratio 4.1 3D	1
Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 3.8 3D	1
Anaplastic large cell lymphoma Clinical candidate Cutaneous T-cell lymphoma Clinical candidate Hodgkin lymphoma Clinical	1
Investigative Squamous cell cancer	1
Investigative Drug-to-Antibody Ratio 2.9 3D	1
Breast cancer Clinical candidate Colorectal cancer Clinical candidate Lung cancer Clinical candidate Melanoma Clinical c	1
Phase 3 Clinical Trial Fallopian tube cancer	1
Unspecific hematological malignancies	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio 3.5 3D	1
Acute lymphoblastic leukemia IND Diffuse large B-cell lymphoma IND Lymphoid leukaemia IND Non Hodgkin lymphoma IND	1
Phase 2 Clinical Trial Hodgkin lymphoma	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2.25 3D	1
Advanced solid tumor	1
Inflammation Clinical candidate 3D	1
Amyloidosis	1
Phase 1 Clinical Trial Acute myeloid leukaemia	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.7-3.9 3D	1
Non Hodgkin lymphoma Clinical candidate Drug-to-Antibody Ratio 1.9 3D	1
Approved Approval Document Peritoneal cancer	1
Approved Approval Document Fallopian tube cancer	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.4 3D	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.3	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 12 3D	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 1 3D	1
Colorectal cancer Clinical candidate Lung cancer Clinical candidate	1
Breast cancer Clinical candidate Colorectal cancer Clinical candidate Extremity melanoma Clinical candidate Non-small ce	1
Gastric cancer Clinical candidate	1
Acute lymphocytic leukemia	1
Investigative Mature T-cell lymphoma	1
Acute myeloid leukaemia Clinical candidate	1
Influenza	1
Investigative Staphylococcal infection (	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio Undisclosed	1
Acute myeloid leukaemia Clinical candidate Hepatocellular carcinoma Clinical candidate Myelodysplastic syndrome Clinical	1
Small cell lung cancer Clinical candidate Triple negative breast cancer Clinical candidate	1
Follicular lymphoma	1
Investigative Hodgkin lymphoma (	1
Multiple myeloma Clinical candidate Drug-to-Antibody Ratio 2	1
Liver cancer	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 5.8	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 1.7 3D	1
Non-small cell lung cancer Clinical candidate Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	1
Investigative Hypopharyngeal squamous cell carcinoma	1
Investigative Drug-to-Antibody Ratio 4.18 3D	1
Approved Approval Document Urothelial cancer	1
Approved Approval Document Oesophageal cancer	1
Phase 2 Clinical Trial Vaginal cancer	1
Phase 2 Clinical Trial Vulvar cancer	1
Breast cancer Clinical candidate Pancreatic cancer Clinical candidate	1
Breast cancer Clinical candidate Cervical cancer Clinical candidate Hepatocellular carcinoma Clinical candidate Lung can	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 6 3D	1
Phase 3 Clinical Trial Chronic myeloid leukemia	1
Phase 3 Clinical Trial Myelodysplastic syndrome	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio 2 to 3 3D	1
Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Angiosarcoma	1
Prostate cancer Clinical candidate Drug-to-Antibody Ratio 3-5	1
Pleural mesothelioma Clinical candidate	1
Hodgkin lymphoma	1
Approved Approval Document Mycosis fungoides	1
Phase 3 Clinical Trial Unspecific non-hodgkin lymphoma	1
Phase 3 Clinical Trial Acute lymphoblastic leukemia	1
Phase 2 Clinical Trial Graft-versus-host disease	1
Phase 2 Clinical Trial Lupus erythematosus	1
Phase 2 Clinical Trial Lymphomatoid papulosis	1
Phase 2 Clinical Trial Mastocytosis	1
Phase 2 Clinical Trial Sezary syndrome	1
Phase 2 Clinical Trial Systemic sclerosis	1
Mycosis fungoides	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.37 3D	1
Neutropenia Clinical candidate	1
Lung cancer Clinical candidate Ovarian cancer Clinical candidate Triple negative breast cancer Clinical candidate	1
Colorectal cancer Clinical candidate	1
Acute lymphoblastic leukemia Clinical candidate Acute myeloid leukaemia Clinical candidate B-cell lymphoma Clinical cand	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5 to 3.8	1
Ovarian cancer Phase 2 Research Article Drug-to-Antibody Ratio 2 to 3 3D	1
Antibody Name: Sacituzumab	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 2	1
Bacteremia	1
Degenerative diseases Clinical candidate	1
Non Hodgkin lymphoma Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Nasopharyngeal carcinoma Clinical candidate	1
Burkitt lymphoma Clinical candidate Multiple myeloma Clinical candidate 3D	1
Melanoma Clinical candidate Triple negative breast cancer Clinical candidate	1
Crohn disease	1
Phase 2 Clinical Trial Rheumatoid arthritis	1
Investigative Drug-to-Antibody Ratio 1	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.2 3D	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 15 3D	1
Gastrointestinal stromal cancer	1
Investigative Gastric cancer	1
Investigative Drug-to-Antibody Ratio 5	1
Investigative Drug-to-Antibody Ratio 1.6	1
Facioscapulohumeral muscular dystrophy Clinical candidate Muscular dystrophy Clinical candidate	1
Approved Approval Document Amyloidosis	1
Phase 2 Clinical Trial Immune thrombocytopenic purpura	1
Head and neck cancer Clinical candidate Breast cancer	1
Glaucoma Clinical candidate Macular degeneration Clinical candidate	1
Gastric cancer Clinical candidate Non-small cell lung cancer Clinical candidate	1
