entity_id	canonical_name	entity_type	conjugate_type	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
LIN0DBDYG	1-Aza-24-crown-8-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 5a		https://adcdb.idrblab.net/data/linker/details/LIN0DBDYG
LIN0NOYLH	1-Aza-42-crown-14-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 5b		https://adcdb.idrblab.net/data/linker/details/LIN0NOYLH
LIN0BKTSN	2,3-disubstituted long side-chain hydrolysis-resistant linker	ADC_LINKER		1	DAC-002		https://adcdb.idrblab.net/data/linker/details/LIN0BKTSN
LIN0JETYX	2-Aminobenzamide oxime	ADC_LINKER	Cleavable	3	HER2-gsADC-19; HER2-gsADC-2; HER2-gsADC-48		https://adcdb.idrblab.net/data/linker/details/LIN0JETYX
LIN0IPRZR	2-Aminobenzamidoxime without core-fucosylation	ADC_LINKER	Cleavable	1	HER2-gsADC-50		https://adcdb.idrblab.net/data/linker/details/LIN0IPRZR
LIN0WOCKQ	3-Amino-alpha-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4d		https://adcdb.idrblab.net/data/linker/details/LIN0WOCKQ
LIN0JBFSR	3-Amino-beta-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4e		https://adcdb.idrblab.net/data/linker/details/LIN0JBFSR
LIN0JJZNV	3-Amino-gama-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4f		https://adcdb.idrblab.net/data/linker/details/LIN0JJZNV
LIN0ZIZGT	3-sulfo-Mal	ADC_LINKER		3	M9346A-sulfo-Mal-DM4; huMov19-3-sulfo-Mal-DM4 (DAR 3.7); huMov19-3-sulfo-Mal-DM4 (DAR 8.23)		https://adcdb.idrblab.net/data/linker/details/LIN0ZIZGT
LIN0UKYNV	4-[N-maleimidomethyl] cyclohexane-1-carboxylate (MCC)	ADC_LINKER		1	AMG 224		https://adcdb.idrblab.net/data/linker/details/LIN0UKYNV
LIN0MLEOW	6-(2,5-dioxopyrrol-1-yl)-N-Propylhexanamide	ADC_LINKER		0			https://adcdb.idrblab.net/data/linker/details/LIN0MLEOW
LIN0ZJEIQ	6-Amino-alpha-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4a		https://adcdb.idrblab.net/data/linker/details/LIN0ZJEIQ
LIN0EFKRS	6-Amino-beta-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4b		https://adcdb.idrblab.net/data/linker/details/LIN0EFKRS
LIN0LXKMB	6-Amino-gama-cyclodextrin-Val-Cit-PABC	ADC_LINKER	Cleavable	1	Crown Ether ADC 4c		https://adcdb.idrblab.net/data/linker/details/LIN0LXKMB
LIN0DSBFC	6-Maleimidocaproic acid	ADC_LINKER		0			https://adcdb.idrblab.net/data/linker/details/LIN0DSBFC
LIN0QBMVS	A cleavable but systemically stable linker	ADC_LINKER		1	BAT8007		https://adcdb.idrblab.net/data/linker/details/LIN0QBMVS
LIN0FTRKS	A cleavable disulfide linker	ADC_LINKER		2	RG6109; RG6148		https://adcdb.idrblab.net/data/linker/details/LIN0FTRKS
LIN0YQOGM	A cleavable ester linker	ADC_LINKER		1	Emiltatug ledadotin		https://adcdb.idrblab.net/data/linker/details/LIN0YQOGM
LIN0NDOEN	A cleavable linker	ADC_LINKER		18	9MW-2921; ADRX-0405; BAT8006; BAT8009; BAT8010; BG-C9074; DB-2304; DS-9606a; Elatatug vedotin; FOR-46; HLX-42; ILB-3101; JBH-492; JSKN016; MHB-088C; PRO-1107; TQB2103; XYD-9668-198		https://adcdb.idrblab.net/data/linker/details/LIN0NDOEN
LIN0LNLKT	A cleavable open-ring linker	ADC_LINKER		1	GQ1010		https://adcdb.idrblab.net/data/linker/details/LIN0LNLKT
LIN0KETHD	A cleavable peptide linker	ADC_LINKER		2	DXC006; LY4052031		https://adcdb.idrblab.net/data/linker/details/LIN0KETHD
LIN0ASDFG	A non-cleavable linker	ADC_LINKER		1	AGX101		https://adcdb.idrblab.net/data/linker/details/LIN0ASDFG
LIN0RQPAU	A proprietary polysarcosine hydrophobicity linker	ADC_LINKER		0			https://adcdb.idrblab.net/data/linker/details/LIN0RQPAU
LIN0CRGGD	A proprietary stable-cleavable linker	ADC_LINKER		1	ESG401		https://adcdb.idrblab.net/data/linker/details/LIN0CRGGD
LIN0VZGOJ	A tetra-peptide based cleavable linker	ADC_LINKER		1	DB-1419		https://adcdb.idrblab.net/data/linker/details/LIN0VZGOJ
LIN0YXEZS	ADC 1-1 linker	ADC_LINKER	Cleavable	1	ADC1-1		https://adcdb.idrblab.net/data/linker/details/LIN0YXEZS
LIN0HPKKW	ADC 1-11 linker	ADC_LINKER	Cleavable	1	ADC1-11		https://adcdb.idrblab.net/data/linker/details/LIN0HPKKW
LIN0KORZE	ADC 1-12 linker	ADC_LINKER	Cleavable	1	ADC1-12		https://adcdb.idrblab.net/data/linker/details/LIN0KORZE
LIN0GHWPL	ADC 1-2 linker	ADC_LINKER	Cleavable	1	ADC1-2		https://adcdb.idrblab.net/data/linker/details/LIN0GHWPL
LIN0JMVQP	ADC 1-4 linker	ADC_LINKER	Cleavable	1	ADC1-4		https://adcdb.idrblab.net/data/linker/details/LIN0JMVQP
LIN0RNRLZ	ADC 2-10 linker	ADC_LINKER	Cleavable	0			https://adcdb.idrblab.net/data/linker/details/LIN0RNRLZ
LIN0PGDJO	ADC 2-11 linker	ADC_LINKER	Cleavable	0			https://adcdb.idrblab.net/data/linker/details/LIN0PGDJO
LIN0QOGXU	ADC 2-12 linker	ADC_LINKER	Cleavable	1	ADC2-12		https://adcdb.idrblab.net/data/linker/details/LIN0QOGXU
LIN0LXTRL	ADC 2-2 linker	ADC_LINKER	Cleavable	1	ADC2-2		https://adcdb.idrblab.net/data/linker/details/LIN0LXTRL
LIN0ABVUL	ADC 2-22 linker	ADC_LINKER	Cleavable	1	ADC2-22		https://adcdb.idrblab.net/data/linker/details/LIN0ABVUL
LIN0KIXUL	ADC 2-23 linker	ADC_LINKER	Cleavable	1	ADC2-23		https://adcdb.idrblab.net/data/linker/details/LIN0KIXUL
