entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PATR0KSWDD	3-Phosphoinositide-dependent protein kinase 1 (PDPK1)	PAYLOAD_MOA_TARGET	PDK1	4	Neolymphostin ADC 21; Neolymphostin ADC 22; Neolymphostin ADC 23; Neolymphostin ADC 24		https://adcdb.idrblab.net/data/plt/details/PATR0KSWDD
PATR0HBNVM	Arylamine N-acetyltransferase 2 (NAT2)	PAYLOAD_MOA_TARGET	AAC2; Arylamide acetylase 2; N-acetyltransferase type 2; Polymorphic arylamine N-acetyltransferase	1	Anti-DR5 antibody-curcumin conjugate		https://adcdb.idrblab.net/data/plt/details/PATR0HBNVM
PATR0ADCOX	BET	PAYLOAD_MOA_TARGET		1	ABBV-787		https://adcdb.idrblab.net/data/plt/details/PATR0ADCOX
PATR0EDEOC	Bcl-2-like protein 1 (BCL2L1)	PAYLOAD_MOA_TARGET	Apoptosis regulator Bcl-X; BCL2L1; BCL2L; BCLX	2		DRG0FXANL; DRG0OGZEE	https://adcdb.idrblab.net/data/plt/details/PATR0EDEOC
PATR0YMUAI	Breakpoint cluster region protein (BCR)	PAYLOAD_MOA_TARGET	BCR1; D22S11; Renal carcinoma antigen NY-REN-26	1	HLCX-SS-dasatinib ADC		https://adcdb.idrblab.net/data/plt/details/PATR0YMUAI
PATR0CIHRZ	Bromodomain-containing protein 4 (BRD4)	PAYLOAD_MOA_TARGET	HUNK1; Protein HUNK1	4	CLL1-5 ADC; CLL1-6 ADC; HER2-5 ADC; Trastuzumab-NGM-PROTAC conjugate		https://adcdb.idrblab.net/data/plt/details/PATR0CIHRZ
PAYTAR0JYZMH	CRBN×GSPT1	PAYLOAD_MOA_TARGET		2	BMS-986497; ORM-5029		https://adcdb.idrblab.net/data/plt/details/PAYTAR0JYZMH
PATR0NGCEY	D(1A) dopamine receptor (DRD1)	PAYLOAD_MOA_TARGET	Dopamine D1 receptor	1	POZ-polymer ADCs		https://adcdb.idrblab.net/data/plt/details/PATR0NGCEY
PATR0EDXOX	DNA topoisomerase 1 (TOP1); DNA-directed RNA polymerase II subunit RPB2 (POLR2B)	PAYLOAD_MOA_TARGET	DNA topoisomerase I	1	KH-815		https://adcdb.idrblab.net/data/plt/details/PATR0EDXOX
PAYTAR0FLJAB	DNA topoisomerase 1 (TOP1)+Microtubule (MT)	PAYLOAD_MOA_TARGET		1	JSKN021		https://adcdb.idrblab.net/data/plt/details/PAYTAR0FLJAB
PAYTAR0CVWHT	DNA topoisomerase 1 (TOP1)+RNA polymerase II	PAYLOAD_MOA_TARGET		2	DRG0HMQLM; KH815		https://adcdb.idrblab.net/data/plt/details/PAYTAR0CVWHT
PATR0EGDKN	DNA topoisomerase 1 (TOP1)	PAYLOAD_MOA_TARGET	DNA topoisomerase I	260		DRG0AAUKK; DRG0ABPHD; DRG0AJCCS; DRG0AJXIV; DRG0AKFYV; DRG0ALLLF; DRG0AQDHE; DRG0ARDET; DRG0AWCVJ; DRG0AYEUI; DRG0AZLBZ; DRG0BCWFQ; DRG0BIQNI; DRG0BIQVN; DRG0BNCXP; DRG0BPIAV; DRG0BSQPI; DRG0BUAWG; DRG0BWNUI; DRG0BWWWF; DRG0BXRDQ; DRG0CCEQO; DRG0CCFQS; DRG0CECRA; DRG0CFNKG; DRG0CFOHZ; DRG0CGHMG; DRG0CIZWI; DRG0CRNZA; DRG0CUSJZ	https://adcdb.idrblab.net/data/plt/details/PATR0EGDKN
PATR0JHCHU	DNA topoisomerase 2-alpha (TOP2A)	PAYLOAD_MOA_TARGET	TOP2A; TOP2; DNA topoisomerase II, alpha isozyme	40		DRG0AOKAZ; DRG0AVDEL; DRG0EJPKN; DRG0FRZQW; DRG0GGKEV; DRG0GIEDE; DRG0HCGBQ; DRG0IJDNB; DRG0IKZPQ; DRG0IQGNU; DRG0ISSIL; DRG0JDRZK; DRG0JRXHL; DRG0KXYRT; DRG0LUWVA; DRG0MMQNO; DRG0MTJCT; DRG0MTUPD; DRG0ODVSY; DRG0OIVTW; DRG0PRBOY; DRG0QJKGD; DRG0QOWCK; DRG0RMWCH; DRG0RWTUE; DRG0SQMHQ; DRG0TOVGF; DRG0TQLIL; DRG0TVFCB; DRG0UJXGX	https://adcdb.idrblab.net/data/plt/details/PATR0JHCHU
PATR0RAJAY	DNA-directed RNA polymerase II subunit RPB1 (POLR2A)	PAYLOAD_MOA_TARGET	POLR2; DNA-directed RNA polymerase II subunit A; DNA-directed RNA polymerase III largest subunit; RNA-directed RNA polymerase II subunit RPB1	2		DRG0LUQSH; DRG0ZRLWB	https://adcdb.idrblab.net/data/plt/details/PATR0RAJAY
PATR0EDEOB	DNA-directed RNA polymerase II subunit RPB2 (POLR2B); DNA-directed RNA polymerase III subunit RPC7 (POLR3G); Microtubule (MT)	PAYLOAD_MOA_TARGET		3	WO2017089890A1 ADC58; WO2017089890A1 ADC59; WO2017089890A1 ADC78		https://adcdb.idrblab.net/data/plt/details/PATR0EDEOB
