entity_id	canonical_name	entity_type	payload_moa_target	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PAY0DGDJZ	2-DDDX-d	ADC_PAYLOAD			2	TQB2102; TQB2103		https://adcdb.idrblab.net/data/payload/details/PAY0DGDJZ
PAY0NESLG	2-DDDX-d	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	2-DDDX-d	1		DRG0IVDIV	https://adcdb.idrblab.net/data/payload/details/PAY0NESLG
PAY0RDAOD	227Th	ADC_PAYLOAD			1	BAY-1862864		https://adcdb.idrblab.net/data/payload/details/PAY0RDAOD
PAY0MHDPD	227Th	ADC_PAYLOAD	Unclear		0			https://adcdb.idrblab.net/data/payload/details/PAY0MHDPD
PAY0NCNYB	4-desacetylvinblastine (DAVLB)	ADC_PAYLOAD			0			https://adcdb.idrblab.net/data/payload/details/PAY0NCNYB
PAY0TLDYP	5(6)-Carboxytetramethylrhodamine	ADC_PAYLOAD		5(6)-Carboxytetramethylrhodamine; 5(6)-TAMRA; 5(6)-Carboxy-tetramethylrhodamine; 3',6'-bis(dimethylamino)-1-oxospiro[2-benzofuran-3,9'-xanthene]-5-carboxylic acid;3',6'-bis(dimethylamino)-3-oxospiro[2-benzofuran-1,9'-xanthene]-5-carboxylic acid; Spiro[isobenzofuran-1(3H),9'-[9H]xanthene]-ar-carboxylic acid, 3',6'-(dimethylamino)-3-oxo- (9CI); 5(6)-AMRA; AKOS015914675; HY-15944; PD063678; E83295; J-100070; 5(6)-Carboxytetramethylrhodamine, BioReagent, suitable for fluorescence, >=85% (sum of isomers, HPCE)	0			https://adcdb.idrblab.net/data/payload/details/PAY0TLDYP
PAY0MQSWH	5T4-PBD	ADC_PAYLOAD	Human Deoxyribonucleic acid (hDNA)	5T4 PBD; 5T4PBD	1		DRG0LNARP	https://adcdb.idrblab.net/data/payload/details/PAY0MQSWH
PAY0EYSIJ	7-aminomethyl-10,11-methylenedioxycamptothecin (AMDCPT)	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)		0			https://adcdb.idrblab.net/data/payload/details/PAY0EYSIJ
PAY0ZWDQO	9106-IM-2	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	9106-IM-2	2		DRG0KKATK; DRG0TTTUA	https://adcdb.idrblab.net/data/payload/details/PAY0ZWDQO
PAY0VRVTR	A-1770637	ADC_PAYLOAD			2	ABBV-969; Turmetabart adizutecan		https://adcdb.idrblab.net/data/payload/details/PAY0VRVTR
PAY0PNJFX	AC225	ADC_PAYLOAD	The activity data of This Payload Standard Type Value Units Cell line Disease Model Cell line ID Reference Half-maximal effective concentration (EC50) 2.8 nCi/ml SK-OV-3 cells Ovarian serous cystadenocarcinoma CVCL_0532 [ 1 ]	AC225	1		DRG0EDBXG	https://adcdb.idrblab.net/data/payload/details/PAY0PNJFX
PAY0VFAHM	ADC 1-1 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC1-1 payload	1	ADC1-1		https://adcdb.idrblab.net/data/payload/details/PAY0VFAHM
PAY0CSFKK	ADC 1-11 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC1-11 payload	1	ADC1-11		https://adcdb.idrblab.net/data/payload/details/PAY0CSFKK
PAY0QZGVC	ADC 1-12 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC1-12 payload	1	ADC1-12		https://adcdb.idrblab.net/data/payload/details/PAY0QZGVC
PAY0HRIZV	ADC 1-2 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC1-2 payload	1	ADC1-2		https://adcdb.idrblab.net/data/payload/details/PAY0HRIZV
PAY0TVGCR	ADC 1-4 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC1-4 payload	1	ADC1-4		https://adcdb.idrblab.net/data/payload/details/PAY0TVGCR
PAY0FYZOP	ADC 2-10 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-10 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0FYZOP
PAY0HUJGR	ADC 2-11 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-11 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0HUJGR
PAY0YIHSM	ADC 2-12 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-12 payload	1	ADC2-12		https://adcdb.idrblab.net/data/payload/details/PAY0YIHSM
PAY0JGYRM	ADC 2-2 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-2 payload	1	ADC2-2		https://adcdb.idrblab.net/data/payload/details/PAY0JGYRM
PAY0AUPYL	ADC 2-22 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-22 payload	1	ADC2-22		https://adcdb.idrblab.net/data/payload/details/PAY0AUPYL
PAY0WCBTU	ADC 2-23 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-23 payload	1	ADC2-23		https://adcdb.idrblab.net/data/payload/details/PAY0WCBTU
PAY0FOCQV	ADC 2-24 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-24 payload	1	ADC2-24		https://adcdb.idrblab.net/data/payload/details/PAY0FOCQV
PAY0UNVKK	ADC 2-25 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-25 payload	1	ADC2-25		https://adcdb.idrblab.net/data/payload/details/PAY0UNVKK
PAY0TLGIU	ADC 2-26 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-26 payload	1	ADC2-26		https://adcdb.idrblab.net/data/payload/details/PAY0TLGIU
PAY0LFFMY	ADC 2-27 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-27 payload	1	ADC2-27		https://adcdb.idrblab.net/data/payload/details/PAY0LFFMY
PAY0GJVKZ	ADC 2-29 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-29 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0GJVKZ
PAY0BOFYP	ADC 2-30 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-30 payload	1	ADC2-30		https://adcdb.idrblab.net/data/payload/details/PAY0BOFYP
PAY0KKROA	ADC 2-31 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-31 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0KKROA
PAY0FEVXS	ADC 2-32 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-32 payload	1	ADC2-32		https://adcdb.idrblab.net/data/payload/details/PAY0FEVXS
PAY0PZRPA	ADC 2-33 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-33 payload	1	ADC2-33		https://adcdb.idrblab.net/data/payload/details/PAY0PZRPA
PAY0VPOEQ	ADC 2-34 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-34 payload	1	ADC2-34		https://adcdb.idrblab.net/data/payload/details/PAY0VPOEQ
PAY0AZRMP	ADC 2-35 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-35 payload	1	ADC2-35		https://adcdb.idrblab.net/data/payload/details/PAY0AZRMP
PAY0TAWJM	ADC 2-36-1 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-36-1 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0TAWJM
PAY0BCATG	ADC 2-36-2 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-36-2 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0BCATG
PAY0YDKGG	ADC 2-37 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-37 payload	1	ADC2-37		https://adcdb.idrblab.net/data/payload/details/PAY0YDKGG
PAY0FFTHG	ADC 2-38 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-38 payload	1	ADC2-38		https://adcdb.idrblab.net/data/payload/details/PAY0FFTHG
PAY0FFMRL	ADC 2-39 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-39 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0FFMRL
PAY0CXXLZ	ADC 2-4 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-4 payload	1	ADC2-4		https://adcdb.idrblab.net/data/payload/details/PAY0CXXLZ
PAY0UCVJL	ADC 2-40 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-40 payload	1	ADC2-40		https://adcdb.idrblab.net/data/payload/details/PAY0UCVJL
PAY0HBWZK	ADC 2-41 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-41 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0HBWZK
PAY0EKZUG	ADC 2-42 payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-42 payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0EKZUG
PAY0JXQEZ	ADC 2-42-RO payload	ADC_PAYLOAD	DNA topoisomerase 1 (TOP1)	ADC2-42-RO payload	0			https://adcdb.idrblab.net/data/payload/details/PAY0JXQEZ
