table	key	field	before	after	tier_a_upgrade
adc_asset_universe.tsv	NAR_DRG0AJCCS	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0AZUEZ	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0BPIAV	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0BWCTV	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0CAEXH	adc_scope	REFERENCE_UNCLASSIFIED	PRESUMED_ADC	False
adc_asset_universe.tsv	NAR_DRG0CAEXH	catalog_status	REFERENCE_CONFIRMED	MULTISOURCE_CONFIRMED	False
adc_asset_universe.tsv	NAR_DRG0CAEXH	sources	nar_reference	nar_reference; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0CCEQO	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0CDYJL	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0CECRA	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc; pubmed	False
adc_asset_universe.tsv	NAR_DRG0CIZWI	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0DAKKB	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0DEGEG	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0EWQKX	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0EZVZS	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0FGLFW	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0FMCLF	sources	nar_reference; conference_abstract_corpus; europe_pmc	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0GYCJG	sources	nar_reference; europe_pmc	nar_reference; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0HOBUN	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0IYBRT	sources	nar_reference; europe_pmc	nar_reference; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0JQAJB	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0JTQDR	sources	nar_reference; europe_pmc; clinicaltrials; conference_abstract_corpus	nar_reference; europe_pmc; conference_crossref_search; clinicaltrials; conference_abstract_corpus	False
adc_asset_universe.tsv	NAR_DRG0KKATK	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0LFZFX	adc_scope	REFERENCE_UNCLASSIFIED	PRESUMED_ADC	False
adc_asset_universe.tsv	NAR_DRG0LFZFX	catalog_status	REFERENCE_CONFIRMED	MULTISOURCE_CONFIRMED	False
adc_asset_universe.tsv	NAR_DRG0LFZFX	sources	nar_reference	nar_reference; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0LNVKG	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc; pubmed	False
adc_asset_universe.tsv	NAR_DRG0MSOOX	sources	nar_reference; conference_abstract_corpus	nar_reference; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0OGZEE	adc_scope	REFERENCE_UNCLASSIFIED	PRESUMED_ADC	False
adc_asset_universe.tsv	NAR_DRG0OGZEE	catalog_status	REFERENCE_CONFIRMED	MULTISOURCE_CONFIRMED	False
adc_asset_universe.tsv	NAR_DRG0OGZEE	sources	nar_reference	nar_reference; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0PULZQ	sources	nar_reference; europe_pmc	nar_reference; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0RIPVI	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc; pubmed	False
adc_asset_universe.tsv	NAR_DRG0RRDEF	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0SIMLV	sources	nar_reference; conference_abstract_corpus; europe_pmc; clinicaltrials	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc; clinicaltrials	False
adc_asset_universe.tsv	NAR_DRG0TSLDF	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0TTTUA	sources	nar_reference; clinicaltrials	nar_reference; clinicaltrials; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0UHEOR	adc_scope	REFERENCE_UNCLASSIFIED	PRESUMED_ADC	False
adc_asset_universe.tsv	NAR_DRG0UHEOR	catalog_status	REFERENCE_CONFIRMED	MULTISOURCE_CONFIRMED	False
adc_asset_universe.tsv	NAR_DRG0UHEOR	sources	nar_reference	nar_reference; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0VIUMF	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0VJROY	sources	nar_reference; clinicaltrials; conference_abstract_corpus	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0VYKSA	adc_scope	REFERENCE_UNCLASSIFIED	PRESUMED_ADC	False
adc_asset_universe.tsv	NAR_DRG0VYKSA	catalog_status	REFERENCE_CONFIRMED	MULTISOURCE_CONFIRMED	False
adc_asset_universe.tsv	NAR_DRG0VYKSA	sources	nar_reference	nar_reference; conference_crossref_search	False
adc_asset_universe.tsv	NAR_DRG0WCTHL	sources	nar_reference; conference_abstract_corpus; europe_pmc	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0WIBDT	sources	nar_reference; conference_abstract_corpus; europe_pmc; pubmed	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc; pubmed	False
adc_asset_universe.tsv	NAR_DRG0WOJVL	sources	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0WWBVZ	sources	nar_reference; conference_abstract_corpus; europe_pmc	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	NAR_DRG0YHPYG	sources	nar_reference; conference_abstract_corpus; europe_pmc	nar_reference; conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	OURS_ADC_CANDIDATE_ADC_SUFFIX_e1a3cb555c56	sources	clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed	clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc; pubmed	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_0658d4488439	sources	conference_abstract_corpus	conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_1242de8a1dc7	sources	clinicaltrials; conference_abstract_corpus	clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_34f2ed75b35c	sources	conference_abstract_corpus	conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_394eeb5b5453	sources	europe_pmc	conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_597cfe5edd1a	sources	clinicaltrials; conference_abstract_corpus	clinicaltrials; conference_abstract_corpus; conference_crossref_search	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_6d4e47204bdd	sources	conference_abstract_corpus; europe_pmc	conference_abstract_corpus; conference_crossref_search; europe_pmc	False
adc_asset_universe.tsv	OURS_ADC_SUFFIX_85875a889934	sources	conference_abstract_corpus	conference_abstract_corpus; conference_crossref_search	False
